Brand,ProductName,ProductScore,ReviewCount,ProductPrice,Category,UserReview
Adidas,Adidas Terrex Skychaser LT Mid GTX ,88,218 reviews,$120,hiking-boots,4.4 
Adidas,Adidas Terrex Skychaser XT Mid GTX ,77,501 reviews,$276,hiking-boots,4.2 
Adidas,Adidas Terrex Trailmaker Mid ,82,238 reviews,$85,hiking-boots,4.5 
Adidas,Adidas Terrex AX3 Mid GTX ,80,"9,618 reviews",$225,hiking-boots,4.4 
Adidas,Adidas Terrex Swift R2 Mid GTX ,85,"15,971 reviews",$150,hiking-boots,4.5 
Adidas,Adidas Terrex Trailmaker Mid GTX ,82,"2,266 reviews",$102,hiking-boots,4.5 
Adidas,Adidas Terrex AX3 Beta Mid CW ,78,"1,315 reviews",$88,hiking-boots,4.3 
Adidas,Adidas Terrex Swift R3 Mid GTX ,83,"1,083 reviews",$126,hiking-boots,4.5 
Adidas,Adidas Terrex Hydro Lace ,81,139 reviews,NA,hiking-boots,4.3 
Adidas,Adidas Terrex Free Hyperblue Mid ,82,5 reviews,$140,hiking-boots,5.0 
Adidas,Adidas Edge Lux 5 New ,75,721 reviews,NA,training-shoes,4.1 
Adidas,Adidas Powerlift 5 ,87,87 reviews,$31,training-shoes,4.6 
Adidas,Adidas Adipower 2 ,90,"3,742 reviews",$72,training-shoes,4.6 
Adidas,Adidas Adipower 3 New ,87,875 reviews,$63,training-shoes,4.5 
Adidas,Adidas Pureboost Trainer ,81,"1,660 reviews",$59,training-shoes,4.4 
Adidas,Adidas CrazyTrain Pro ,75,123 reviews,NA,training-shoes,4.0 
Adidas,Adidas CrazyTrain Pro 3.0 ,83,542 reviews,NA,training-shoes,4.4 
Adidas,Adidas Dropset Trainer ,89,392 reviews,$65,training-shoes,4.6 
Adidas,Adidas Powerlift 3.1 ,87,"6,882 reviews",$69,training-shoes,4.7 
Adidas,Adidas CrazyTrain Bounce ,77,104 reviews,NA,training-shoes,4.1 
Adidas,Adidas FitBoost Trainer ,85,216 reviews,$92,training-shoes,4.5 
Adidas,Adidas The Total ,89,94 reviews,$72,training-shoes,4.6 
Adidas,Adidas Athletics 24/7 Trainer ,79,775 reviews,NA,training-shoes,4.3 
Adidas,Adidas Alphabounce Trainer ,86,351 reviews,$50,training-shoes,4.3 
Adidas,Adidas Adipure 360.3 ,82,119 reviews,NA,training-shoes,4.1 
Adidas,Adidas Power Perfect 3 ,91,"3,970 reviews",$69,training-shoes,4.6 
Adidas,Adidas Futurenatural ,82,747 reviews,$45,training-shoes,4.4 
Adidas,Adidas Trainer V ,87,600 reviews,$59,training-shoes,4.5 
Adidas,Adidas Crazy Power RK ,82,496 reviews,$100,training-shoes,4.4 
Adidas,Adidas Icon Trainer ,71,341 reviews,$55,training-shoes,3.8 
Adidas,Adidas Leistung 16 II ,87,"1,212 reviews",$90,training-shoes,4.6 
Adidas,Adidas Powerlift 4 ,90,"18,186 reviews",$41,training-shoes,4.7 
Adidas,Adidas Power Perfect 2 ,91,808 reviews,NA,training-shoes,4.6 
Adidas,Adidas Crazytrain LT ,84,172 reviews,NA,training-shoes,4.5 
Adidas,Adidas AdiPower Weightlifting Shoes ,92,"1,964 reviews",$165,training-shoes,4.7 
Adidas,Adidas Terrex Free Hiker Cold.RDY ,89,836 reviews,$212,hiking-shoes,4.6 
Adidas,Adidas Terrex Free Hiker Parley ,88,842 reviews,$130,hiking-shoes,4.5 
Adidas,Adidas Terrex Swift R3 ,80,886 reviews,$74,hiking-shoes,4.2 
Adidas,Adidas Terrex Skychaser LT GTX ,81,"3,360 reviews",$97,hiking-shoes,4.3 
Adidas,Adidas Terrex Skychaser XT GTX ,81,405 reviews,NA,hiking-shoes,4.3 
Adidas,Adidas Terrex Voyager ,78,691 reviews,$45,hiking-shoes,4.2 
Adidas,Adidas Terrex Swift R2 GTX Lab test ,88,"48,377 reviews",$71,hiking-shoes,4.5 
Adidas,Adidas Terrex Swift R3 GTX ,85,"5,806 reviews",$74,hiking-shoes,4.3 
Adidas,Adidas Terrex Hikster ,80,155 reviews,$66,hiking-shoes,4.3 
Adidas,Adidas Terrex AX4 ,80,"1,208 reviews",NA,hiking-shoes,4.3 
Adidas,Adidas Terrex Skychaser 2.0 GTX ,79,485 reviews,$119,hiking-shoes,4.3 
Adidas,Adidas Terrex Folgian Hiker ,79,347 reviews,$75,hiking-shoes,4.3 
Adidas,Adidas Terrex AX2R GTX ,83,"2,793 reviews",$100,hiking-shoes,4.5 
Adidas,Adidas Terrex Trailmaker ,83,"1,320 reviews",$41,hiking-shoes,4.5 
Adidas,Adidas Terrex Fast Mid GTX Surround ,87,396 reviews,$110,hiking-shoes,4.2 
Adidas,Adidas Terrex Trailmaker Primegreen ,88,58 reviews,$68,hiking-shoes,4.7 
Adidas,Adidas Terrex AX3 ,83,"50,296 reviews",$50,hiking-shoes,4.4 
Adidas,Adidas Terrex AX3 GTX ,80,"15,400 reviews",$75,hiking-shoes,4.3 
Adidas,Adidas Terrex AX4 Primegreen ,86,"3,960 reviews",$50,hiking-shoes,4.3 
Adidas,Adidas Terrex Eastrail ,87,"10,452 reviews",$69,hiking-shoes,4.4 
Adidas,Adidas Terrex Eastrail GTX ,81,"6,527 reviews",$70,hiking-shoes,4.3 
Adidas,Adidas Terrex Fast GTX Surround ,84,355 reviews,$100,hiking-shoes,4.3 
Adidas,Adidas Terrex Eastrail Mid GTX ,79,"2,836 reviews",$130,hiking-shoes,4.4 
